[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2025-11-03T02:25:22: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:22: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:22: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:24: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:24: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:24: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:25: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:25: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:25: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:26: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:26: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:26: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:28: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:28: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:28: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:29: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:29: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:29: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:30: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:30: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:30: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:32: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:32: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:32: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:33: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:33: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:33: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:34: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:34: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:34: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:36: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:36: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:36: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:37: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:37: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:37: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:38: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:38: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:38: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:40: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:40: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:40: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:41: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:41: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:41: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:43: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:43: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:43: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:44: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:44: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:44: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:45: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
